,column_name,slope_upper,slope_lower,threshold,minimum
0,rndm,2.4999986588962044,0.30927835089555517,0.9399999976158142,-1.0
1,rndm,2.4999986588962044,0.30927835089555517,0.9399999976158142,-1.0
2,weight,271.63020370298676,2204.101359801995,4.4683933367636326e-05,-0.00022753585241113607
3,W_B_pt,7.227239066646497e-05,0.00480362530159512,124.93460746340479,0.02894510860779565
4,W_B_eta,0.012083711865872971,0.05456995890926105,1.619065467523439,-9.375995038160287
5,W_B_phi,0.1592966989827633,0.1060928265270356,2.513832947996909,-3.141591830860333
6,W_B_E,2.0053250712727877e-05,0.0012777937903351271,486.62778481217305,17.06845173493386
7,W_B_m,1.9784032532879008e-05,0.0015565809001510732,397.01712634036096,11.556916760655069
8,b_B_pt,7.227239066646497e-05,0.004803625301595124,124.93460746340475,0.028945108607835224
9,b_B_eta,0.012895639827696767,0.05210095215019579,1.6214360293685126,-9.894668288079076
10,b_B_phi,0.15927545249470973,0.10609439609441157,2.513749169602357,-3.141591942533956
11,b_B_E,3.6778906310457075e-05,0.0023810945464255964,257.3419230012554,5.356968896557669
12,b_B_m,0.00037915075473882805,0.0326547312038596,18.373917968753126,-0.00014232450947706323
13,Wjj_B_dR,0.010836036021907015,0.14081284167700953,4.311268701559259,0.050293687815453084
14,tWb_B_dR,0.0067794388347829065,0.2797104210700737,5.286668256081159,3.1415926535898
15,Wjj_B_deta,0.009524747077364972,0.03733214697910156,2.7327184207125192,-13.339220874283786
16,Wjj_B_dphi,0.3406143362033701,0.10017367681882175,2.848005088291237,-3.1415923693840435
17,tWb_B_deta,0.006041855932936485,0.027284979454630525,3.238130935046878,-18.751990076320574
18,tWb_B_dphi,inf,0.09549296585513721,3.1415926535897927,-3.1415926535897927
19,W_pt,5.958251063841416e-05,0.002665712290929862,225.12958562766147,0.049031345223823665
20,W_eta,0.015245085203180552,0.05095749424891279,2.323847185160772,-9.450672124387133
21,W_phi,0.1595416539384381,0.1060748704933394,2.514791233829376,-3.1415908782531923
22,W_E,1.8829233297967596e-05,0.0007324500309038556,870.4792073495568,51.31069798436509
23,W_m,1.978403253287901e-05,0.0015565809001511011,397.01712634036096,11.556916760661993
24,b_pt,5.582644903807145e-05,0.004424575909368093,160.606234375,25.000017578125
25,b_eta,0.04011815537771343,0.09452338757498542,1.932944416999816,-4.414690971374514
26,b_phi,0.15965406985596392,0.1060664749707331,2.515238046646118,-3.141591787338257
27,b_E,2.0166740812413136e-05,0.0013688527504688488,463.3746558604241,25.051395893643424
28,b_m,0.00037915075473882756,0.03265479626534892,18.37391796875199,-0.00010571599167290509
29,Wjj_dR,0.01869761139615401,0.16690355935800638,3.9339902324788207,0.3390998520226057
30,tWb_dR,0.011006641335760802,0.1454670911148646,4.125441689907258,0.0007974463083788262
31,Wjj_deta,0.01595913401722689,0.05343906357644623,2.469714576005934,-8.758027076721222
32,Wjj_dphi,0.1813242615730387,0.1046812350180148,2.5900939106941223,-3.1415923833847046
33,tWb_deta,0.009630144828755658,0.03888823398222678,2.6594504018979928,-12.769380855243178
34,tWb_dphi,0.19553961555398222,0.10395408534203326,2.6301864983444814,-3.1415924368061634
35,t_pt,6.035879086512708e-05,0.0022325960836528103,268.77750434745815,0.03207189183728519
36,t_eta,0.01454510861653027,0.048465446869085924,2.4851865871017074,-9.894767354532428
37,t_phi,0.15971120232076141,0.10606227967977543,2.5154623384504866,-3.1415912513038307
38,t_E,1.9667122644358072e-05,0.0005236962104697835,1227.5871261981615,81.88473613929906
39,t_m,1.9104827335458397e-05,0.0008572468504526756,726.7252078655156,26.810125432531986
40,btag1,inf,0.15,5.0,1.0
41,btag2,inf,0.15,5.0,1.0
42,btag3,inf,0.15,5.0,1.0
